Altium Designer Pick and Place Locations
D:\Umich\arv\embedded_hardware\maverick-power-distribution\PCB\Project Outputs for MaverickPowerDistribution_v1.0\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       24/03/26
Time:       03:00
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Pad-X(mm)","Pad-Y(mm)"
"J1_PWR","43045-0201","TopLayer","FP-43045-0201-MFG","79.6290","117.4720","180","CONN HEADER R/A 2POS","79.6290","116.8120"
"MICRO_SD1","TF-01A","TopLayer","TF-01A","114.7318","74.2116","0","Standard Card Edge Connectors","117.0378","79.5638"
"J_OLED","PPTC041LFBN-RC","TopLayer","SULLINS_PPTC041LFBN-RC","114.8080","97.1550","0","4 Position Header Connector 0.100 (2.54mm) Through Hole Tin","110.9980","97.1550"
"R_BaseB","0603WAF1002T5E","TopLayer","RESC1607X60N","54.6100","80.6450","180","Resistor, 10kO, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603","55.3450","80.6450"
"R_BaseA","0603WAF1002T5E","TopLayer","RESC1607X60N","54.6100","102.4890","180","Resistor, 10kO, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603","55.3450","102.4890"
"R10","0402WGF1002TCE","TopLayer","RES-0402","121.6220","103.6320","180","Resistor, 10kO, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402","122.0470","103.6320"
"R17B","","TopLayer","RESC1607X60N","79.3750","72.3900","270","Resistor, 1kO, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603","79.3750","73.1250"
"R17A","","TopLayer","RESC1607X60N","79.2480","90.8050","270","Resistor, 1kO, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603","79.2480","91.5400"
"U2B","ACS711KEXLT-15AB-T","TopLayer","XDCR_ACS711KEXLT-15AB-T","78.6855","76.8270","0","Current Sensor 15.5A 1 Channel Hall Effect, Open Loop Bidirectional 12-PowerWFQFN","77.3430","77.3270"
"U2A","ACS711KEXLT-15AB-T","TopLayer","XDCR_ACS711KEXLT-15AB-T","78.5935","95.2500","0","Current Sensor 15.5A 1 Channel Hall Effect, Open Loop Bidirectional 12-PowerWFQFN","77.2510","95.7500"
"C9A","CC0805KRX7R9BB104","TopLayer","CAP-0805","77.7240","100.0760","270","Capacitor, Ceramic (MLCC), 100nF, ±10%, 50V, X7R, ±10%, SMD 0805","77.7240","100.9760"
"C9B","CC0805KRX7R9BB104","TopLayer","CAP-0805","77.8510","81.6610","270","Capacitor, Ceramic (MLCC), 100nF, ±10%, 50V, X7R, ±10%, SMD 0805","77.8510","82.5610"
"C10A","CL21B102KBCNNNC","TopLayer","CAP-0805","80.2640","100.0760","270","Capacitor, Ceramic (MLCC), 1nF, ±10%, 50V, X7R, ±10%, SMD 0805","80.2640","100.9760"
"C10B","CL21B102KBCNNNC","TopLayer","CAP-0805","80.3910","81.6610","270","Capacitor, Ceramic (MLCC), 1nF, ±10%, 50V, X7R, ±10%, SMD 0805","80.3910","82.5610"
"X1","32.768kHz","TopLayer","OSC-SMD_4P-L3.2-W2.5-BL","89.3239","94.8550","0","","88.2239","93.9800"
"U3","TPS561201DDCT","TopLayer","SOT95P280X110-6N","94.2340","115.0620","0","4.5V to 17V Input, 1A Synchronous Step-Down Voltage Regulator in 6-pin SOT-23","93.0790","116.0120"
"U1","STM32L412KBT6","TopLayer","LQFP-32","99.1870","91.6940","0","No Description Available","95.0722","94.4940"
"R_BLOWN1B","0402WGF1202TCE","TopLayer","RES-0402","62.1030","88.7730","90","Resistor, 12kO, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402","62.1030","88.3480"
"R_BLOWN1A","0402WGF1202TCE","TopLayer","RES-0402","62.2300","110.6610","90","Resistor, 12kO, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402","62.2300","110.2360"
"R22","0603WAF1302T5E","TopLayer","RESC1607X60N","98.9330","110.6170","0","Resistor, 13kO, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603","98.1980","110.6170"
"R21","RC0603FR-07100KL","TopLayer","RESC1607X60N","103.3780","110.6170","0","100 kOhms Â±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film","102.6430","110.6170"
"R20","390kO","TopLayer","R0402","127.6350","102.8700","90","390k Resistor","127.6350","102.4372"
"R16","0402WGF1000TCE","TopLayer","RES-0402","97.5360","77.8510","270","Resistor, 100O, ±1%, 62.5mW, 50V, ±200ppm/?, -55?~+155?, SMD 0402","97.5360","78.2760"
"R15","0402WGF1000TCE","TopLayer","RES-0402","101.2190","77.9780","270","Resistor, 100O, ±1%, 62.5mW, 50V, ±200ppm/?, -55?~+155?, SMD 0402","101.2190","78.4030"
"R14","0402WGF1002TCE","TopLayer","RES-0402","97.1550","98.8060","270","Resistor, 10kO, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402","97.1550","99.2310"
"R13","0402WGF220JTCE","TopLayer","RES-0402","106.6800","93.7260","180","Resistor, 22O, ±1%, 62.5mW, 50V, ±200ppm/?, -55?~+155?, SMD 0402","107.1050","93.7260"
"R12","0402WGF220JTCE","TopLayer","RES-0402","103.5050","98.1710","0","Resistor, 22O, ±1%, 62.5mW, 50V, ±200ppm/?, -55?~+155?, SMD 0402","103.0800","98.1710"
"R11","0402WGF1002TCE","TopLayer","RES-0402","124.2060","103.6320","0","Resistor, 10kO, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402","123.7810","103.6320"
"R9","0402WGF1002TCE","TopLayer","RES-0402","106.6800","98.1710","0","Resistor, 10kO, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402","106.2550","98.1710"
"R8","0402WGF1002TCE","TopLayer","RES-0402","112.6490","82.9310","90","Resistor, 10kO, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402","112.6490","82.5060"
"R7","0402WGF1002TCE","TopLayer","RES-0402","109.9820","81.6610","180","Resistor, 10kO, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402","110.4070","81.6610"
"R6","0402WGF1002TCE","TopLayer","RES-0402","114.9350","82.9750","90","Resistor, 10kO, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402","114.9350","82.5500"
"R5","0402WGF1002TCE","TopLayer","RES-0402","109.0930","93.7260","0","Resistor, 10kO, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402","108.6680","93.7260"
"R4","0402WGF1002TCE","TopLayer","RES-0402","106.6800","95.2500","0","Resistor, 10kO, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402","106.2550","95.2500"
"R3","0402WGF1003TCE","TopLayer","RES-0402","90.6780","102.4890","0","Resistor, 100kO, ±1%, 62.5mW, 50V, ±100ppm/?, -55?~+155?, SMD 0402","90.2530","102.4890"
"R2","0603WAF5103T5E","TopLayer","RESC1607X60N","91.0590","104.8750","90","Resistor, 510kO, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603","91.0590","104.1400"
"R1","0603WAF3003T5E","TopLayer","RESC1607X60N","91.8210","107.6960","0","Resistor, 300kO, ±1%, 100mW, 75V, ±100ppm/?, -55?~+155?, SMD 0603","91.0860","107.6960"
"Q1B","SS8050","TopLayer","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","58.8010","79.7560","180","BJT NPN","57.8010","80.7060"
"Q1A","SS8050","TopLayer","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","58.4200","101.6000","180","BJT NPN","57.4200","102.5500"
"OLED1","N096-2864KSWEG01-H30","TopLayer","OLED_0.96-30P-P0.70-12864","120.2969","107.4418","0","","110.1469","107.4440"
"LDO_1","AMS1117-3.3","TopLayer","FP-AMS1117-IPC_C","99.6950","105.6640","180","LDO Voltage Regulators 1A, 3.3V","102.9900","103.3740"
"L1","74439325056","TopLayer","WE-XHMI_4040","99.6950","118.7450","0","Power Inductor, 5.6UH, Shielded, 5.1A Rohs Compliant: Yes","99.6950","119.9700"
"J_MTR1B","43045-0201","TopLayer","FP-43045-0201-MFG","54.2290","73.0280","0","CONN HEADER R/A 2POS","54.2290","73.6880"
"J_MTR1A","43045-0201","TopLayer","FP-43045-0201-MFG","54.3560","117.6270","180","CONN HEADER R/A 2POS","54.3560","116.9670"
"J2","FTSH-107-01-L-DV-K","TopLayer","FP-FTSH-107-01-L-DV-K-MFG","131.8260","83.1850","90","CONN HEADER SMD 14POS 1.27MM","133.8610","79.3750"
"H_OLED1","4-pin Header","TopLayer","4-pin_Header","135.3820","105.4100","180","4-pin Header 0.1mm pitch","135.3820","109.2200"
"H_SD1","4-pin Header","TopLayer","4-pin_Header","135.3820","71.6280","0","4-pin Header 0.1mm pitch","135.3820","67.8180"
"Fuse1B","178.6165.0002","TopLayer","FP-178_6165-MFG","68.1990","82.8040","90","FUSE HOLDER BLADE 80V PCB","66.9490","79.9040"
"Fuse1A","178.6165.0002","TopLayer","FP-178_6165-MFG","68.0520","108.1830","90","FUSE HOLDER BLADE 80V PCB","69.3020","101.7830"
"BLOWN_LEDB","KT-0603R","TopLayer","LED_KT-0603R","62.1030","78.9820","90","Red 0603 Light Emitting Diodes","62.1030","79.7320"
"BLOWN_LEDA","KT-0603R","TopLayer","LED_KT-0603R","62.2300","100.8380","90","Red 0603 Light Emitting Diodes","62.2300","101.5880"
"D_LED2","LTST-C190GKT","TopLayer","LEDM1608X80","97.5360","73.9140","90","","97.5360","74.6640"
"D_LED1","LTST-C190GKT","TopLayer","LEDM1608X80","101.2190","73.9140","90","","101.2190","74.6640"
"D_Base1B","Diode","TopLayer","M7_MDD","54.3560","85.9790","90","1A Independent Type 1kV 1.1V@1A SMA(DO-214AC) Diodes - General Purpose ROHS","54.3560","84.3026"
"D_Base1A","Diode","TopLayer","M7_MDD","54.3560","107.5690","90","1A Independent Type 1kV 1.1V@1A SMA(DO-214AC) Diodes - General Purpose ROHS","54.3560","105.8926"
"C25","CL21A476MQYNNNE","TopLayer","CAP-0805","102.1080","113.7920","90","Capacitor, Ceramic (MLCC), 47uF, ±20%, 6.3V, X5R, ±20%, SMD 0805","102.1080","112.8920"
"C24","CGA1A2C0G1E680J030BA","TopLayer","CAP-0603","99.6950","114.4000","90","68 pF Â±5% 25V Ceramic Capacitor C0G, NP0 0201 (0603 Metric)","99.6950","113.6500"
